duration_s,cpu_energy_kWh,energy_consumed_kWh
12.028731,9.16535e-05,0.0001939545
12.144571,9.34555e-05,0.0002073136
12.116768,9.29089e-05,0.0002063071
12.060297,9.28122e-05,0.000200923
12.137217,9.24736e-05,0.0001967857
12.117894,9.21941e-05,0.0001931624
12.027087,9.1372e-05,0.0001922322
12.136281,9.24824e-05,0.0001949679
12.188794,9.24204e-05,0.0001961253
12.021886,9.13134e-05,0.0001895087
12.049065,9.28351e-05,0.0002046798
12.043888,9.29617e-05,0.0002031139
12.090105,9.33687e-05,0.0002034462
12.026917,9.17671e-05,0.0001919377
12.273737,9.30863e-05,0.0001969268
12.035999,9.13102e-05,0.0001905661
12.088802,9.23693e-05,0.0001929873
12.045326,9.17316e-05,0.0001926268
12.165217,9.30663e-05,0.000197482
12.031597,9.14119e-05,0.0001911097
12.084032,9.18298e-05,0.0001915353
12.056541,9.23382e-05,0.0001905927
12.097662,9.31109e-05,0.0002049496
12.338321,9.51541e-05,0.0002068918
12.074456,9.25331e-05,0.0001917074
12.012238,9.10993e-05,0.0001916902
12.128074,9.38903e-05,0.0002074433
12.111159,9.38838e-05,0.0002068867
12.124924,9.43633e-05,0.0002082557
12.109869,9.35421e-05,0.0002043024
