run,duration_s,cpu_energy_J,energy_consumed_J
1,12.028731,329.9526,698.2362
2,12.144571,336.4398,746.32896
3,12.116768,334.47204,742.70556
4,12.060297,334.12392,723.3228
5,12.137217,332.90496,708.42852
6,12.117894,331.89876,695.38464
7,12.027087,328.9392,692.03592
8,12.136281,332.93664,701.88444
9,12.188794,332.71344,706.05108
10,12.021886,328.72824,682.23132
11,12.049065,334.20636,736.84728
12,12.043888,334.66212,731.21004
13,12.090105,336.12732,732.40632
14,12.026917,330.36156,690.97572
15,12.273737,335.11068,708.93648
16,12.035999,328.71672,686.03796
17,12.088802,332.52948,694.75428
18,12.045326,330.23376,693.45648
19,12.165217,335.03868,710.9352
20,12.031597,329.08284,687.99492
21,12.084032,330.58728,689.52708
22,12.056541,332.41752,686.13372
23,12.097662,335.19924,737.81856
24,12.338321,342.55476,744.81048
25,12.074456,333.11916,690.14664
26,12.012238,327.95748,690.08472
27,12.128074,338.00508,746.79588
28,12.111159,337.98168,744.79212
29,12.124924,339.70788,749.72052
30,12.109869,336.75156,735.48864
mean,12.098915,333.448692,712.849416
std,-,3.53484873,23.49703588

metric,cpu_energy,total_energy
pct_reduction,0.0,0.0
mann_whitney_p,0.50295,0.50295
h2_rejected,False,False
