run,duration_s,cpu_energy_J,energy_consumed_J
1,10.090619,278.43228,609.2244
2,10.097007,278.59248,606.92616
3,10.034663,279.46548,598.6962
4,3.135791,85.18968,198.32148
5,10.041973,279.4788,612.33012
6,10.061803,275.93676,574.62624
7,10.040191,273.9258,567.5454
8,10.041078,274.13172,573.07896
9,10.020634,273.7548,576.96624
10,10.037331,273.79584,570.6108
11,10.042152,274.49856,576.49464
12,10.020149,276.14268,607.82616
13,10.0366,282.11868,619.13844
14,10.011734,276.86232,613.01664
15,10.195,282.29436,617.08356
16,10.0364,277.94016,612.93564
17,10.088478,274.44996,573.4584
18,10.249165,279.84204,586.44288
19,10.062533,275.63616,585.4248
20,10.045763,275.56956,572.89032
21,10.053902,278.019,606.34908
22,10.157251,280.28844,631.27836
23,10.150491,281.22552,609.12792
24,10.056123,277.21332,609.52356
25,10.093024,277.69716,601.84008
26,10.014712,274.3362,579.88836
27,10.11946,278.35164,583.58916
28,10.009764,274.36788,579.29544
29,10.087845,276.21792,575.59896
30,10.080366,280.28592,607.47768
31,10.092346,281.2572,615.71412
mean,9.848527,271.20381677,582.3458129
std,-,34.6229125,73.58166541

metric,cpu_energy,total_energy
pct_reduction,18.667,18.3073
mann_whitney_p,0.0,0.0
h2_rejected,True,True
