duration_s,cpu_energy_kWh,energy_consumed_kWh
10.004313,7.5915e-05,0.0001600767
10.049326,7.61593e-05,0.0001585057
10.090121,7.796e-05,0.0001707772
10.109557,7.95107e-05,0.0001728522
10.088596,7.74801e-05,0.0001693603
10.079137,7.72931e-05,0.0001678559
10.04833,7.72003e-05,0.0001675592
10.101758,7.80952e-05,0.0001703888
10.025908,7.5918e-05,0.000159407
10.059453,7.60254e-05,0.0001597458
10.043365,7.60615e-05,0.0001588185
10.091209,7.64753e-05,0.0001593141
10.056571,7.58691e-05,0.0001585123
10.096896,7.72245e-05,0.0001684723
10.100806,7.72718e-05,0.0001684404
10.093734,7.72187e-05,0.0001703338
10.015138,7.63667e-05,0.000157779
10.001929,7.57081e-05,0.0001587482
10.066188,7.63442e-05,0.0001599352
9.99355,7.56077e-05,0.0001605163
10.058839,7.59687e-05,0.0001600838
10.040336,7.59535e-05,0.0001596736
10.045771,7.66937e-05,0.0001695014
10.072249,7.75175e-05,0.0001678279
10.088008,7.76915e-05,0.0001686912
10.03201,7.64164e-05,0.0001611177
10.018703,7.58109e-05,0.0001589233
10.050238,7.78129e-05,0.0001680172
10.084378,7.79624e-05,0.0001683229
10.177714,7.96835e-05,0.0001766477
