run,duration_s,cpu_energy_J,energy_consumed_J
1,10.004313,273.294,576.27612
2,10.049326,274.17348,570.62052
3,10.090121,280.656,614.79792
4,10.109557,286.23852,622.26792
5,10.088596,278.92836,609.69708
6,10.079137,278.25516,604.28124
7,10.04833,277.92108,603.21312
8,10.101758,281.14272,613.39968
9,10.025908,273.3048,573.8652
10,10.059453,273.69144,575.08488
11,10.043365,273.8214,571.7466
12,10.091209,275.31108,573.53076
13,10.056571,273.12876,570.64428
14,10.096896,278.0082,606.50028
15,10.100806,278.17848,606.38544
16,10.093734,277.98732,613.20168
17,10.015138,274.92012,568.0044
18,10.001929,272.54916,571.49352
19,10.066188,274.83912,575.76672
20,9.99355,272.18772,577.85868
21,10.058839,273.48732,576.30168
22,10.040336,273.4326,574.82496
23,10.045771,276.09732,610.20504
24,10.072249,279.063,604.18044
25,10.088008,279.6894,607.28832
26,10.03201,275.09904,580.02372
27,10.018703,272.91924,572.12388
28,10.050238,280.12644,604.86192
29,10.084378,280.66464,605.96244
30,10.177714,286.8606,635.93172
mean,10.062804,276.865884,592.344672
std,-,3.84691053,19.84164421

metric,cpu_energy,total_energy
pct_reduction,16.969,16.9047
mann_whitney_p,0.0,0.0
h2_rejected,True,True
