duration_s,cpu_energy_kWh,energy_consumed_kWh
12.045786,9.25458e-05,0.0002052881
11.968438,9.2004e-05,0.0002015605
12.093851,9.2836e-05,0.0001925581
12.070579,9.16333e-05,0.0001928576
11.9714,9.0969e-05,0.0001902454
11.878688,9.01633e-05,0.0001874867
12.023154,9.17416e-05,0.0001899805
12.077308,9.18012e-05,0.0001901797
12.115373,9.21429e-05,0.0001942381
11.987156,9.10438e-05,0.0001888592
11.992811,9.109e-05,0.0001909197
11.936876,9.07714e-05,0.0001906517
12.054812,9.27662e-05,0.0002023229
12.098324,9.32123e-05,0.0002068675
12.029455,9.1889e-05,0.000191804
11.989229,9.11087e-05,0.0001899795
12.042655,9.11135e-05,0.0001908076
12.024062,9.15745e-05,0.0001926254
12.062475,9.16541e-05,0.0001934944
11.977574,9.09262e-05,0.0001899618
12.030716,9.15005e-05,0.000192816
11.998773,9.09985e-05,0.0001911535
11.966814,9.0905e-05,0.000188571
12.012867,9.13573e-05,0.000191158
11.961255,9.23171e-05,0.0002010342
12.11996,0.0001238723,0.000233713
11.956632,9.22201e-05,0.0002005879
11.982927,9.14032e-05,0.000191803
12.005807,9.28968e-05,0.0002011671
11.999224,9.30023e-05,0.0002005729
