run,duration_s,cpu_energy_J,energy_consumed_J
1,10.098293,286.51608,553.11696
2,9.996016,278.81568,541.3878
3,10.108321,284.82192,558.69228
4,10.054635,281.655,549.37908
5,10.017248,277.88688,546.48612
6,10.078529,279.55584,541.03968
7,10.086269,284.75244,548.64684
8,10.03669,278.4258,548.76816
9,10.105542,284.67252,565.22124
10,10.078719,281.09232,553.50144
11,10.123002,282.32424,549.73944
12,10.009644,280.25892,543.46392
13,10.093331,282.20796,550.14876
14,10.011333,277.66044,548.09712
15,10.090628,280.68552,544.5234
16,10.101427,279.6768,556.42932
17,10.038696,276.0102,543.43512
18,10.046532,277.87248,543.38364
19,10.108604,281.88,547.60104
20,10.085783,279.50688,546.65244
21,10.03106,276.9318,539.58708
22,10.054303,278.1522,544.3938
23,10.09356,278.50464,543.8592
24,10.018962,277.33284,537.0696
25,10.106978,283.31532,561.92472
26,10.120199,279.6048,553.08204
27,10.04606,278.2854,539.28792
28,10.060706,275.41476,536.61132
29,10.061126,278.73036,535.4046
30,10.030344,279.52668,546.68556
mean,10.066418,280.069224,547.253988
std,-,2.76804735,7.21495544

metric,cpu_energy,total_energy
pct_reduction,16.9637,16.7847
mann_whitney_p,0.0,0.0
h2_rejected,True,True
