duration_s,cpu_energy_kWh,energy_consumed_kWh
9.996127,7.73584e-05,0.0001510744
10.072172,7.87024e-05,0.0001520476
10.084683,7.83231e-05,0.0001538603
10.041284,7.76279e-05,0.0001518607
10.016965,7.75662e-05,0.0001515393
10.067496,7.81394e-05,0.0001537154
9.9675,7.85361e-05,0.0001526285
10.042013,7.77584e-05,0.0001499634
10.022551,7.70212e-05,0.0001503021
10.072599,7.79627e-05,0.0001525219
10.011901,7.76125e-05,0.0001514333
10.043098,7.80577e-05,0.0001509544
10.046822,7.78019e-05,0.0001509977
10.040779,7.74798e-05,0.0001520564
9.983108,7.70062e-05,0.0001513541
9.973594,7.68577e-05,0.0001518403
10.113519,7.81119e-05,0.000155433
10.035344,7.75454e-05,0.0001511804
10.030905,7.72722e-05,0.0001515972
10.029232,7.74613e-05,0.0001492054
9.97912,7.66541e-05,0.0001501347
9.993952,7.7323e-05,0.0001503089
10.002307,7.70367e-05,0.0001497749
10.074584,7.78206e-05,0.0001508524
10.006031,7.73156e-05,0.0001510209
10.053586,7.77581e-05,0.0001506667
10.023778,7.69218e-05,0.0001522711
10.041126,7.78963e-05,0.0001493626
10.081074,7.80796e-05,0.0001525605
