duration_s,cpu_energy_kWh,energy_consumed_kWh
12.042352,9.37034e-05,0.0002054668
12.063809,9.19099e-05,0.0001924588
12.108903,9.2265e-05,0.0001942654
12.103878,9.38609e-05,0.0002018495
12.14046,9.28299e-05,0.0001966343
12.158606,9.30304e-05,0.0001929494
12.249139,9.29551e-05,0.0001933256
12.088767,9.16213e-05,0.0001895458
12.071159,9.14727e-05,0.0001909266
12.12727,9.2163e-05,0.0001944773
12.053666,9.10627e-05,0.0001903615
12.031779,9.23296e-05,0.0002007517
12.073911,9.24625e-05,0.0001984903
12.043547,9.30623e-05,0.0001977682
12.117709,9.25543e-05,0.000195505
12.042867,9.16834e-05,0.0001903807
12.054381,9.19098e-05,0.0001920243
12.036068,9.1432e-05,0.0001920754
12.116938,9.21959e-05,0.0001963087
12.179605,9.27295e-05,0.0001929511
12.067408,9.16654e-05,0.0001901181
12.076713,9.16916e-05,0.0001929066
12.048414,9.2246e-05,0.0001916626
12.027961,9.24896e-05,0.0002027262
12.12349,9.42698e-05,0.0002043887
12.133763,9.39989e-05,0.0002050805
12.114965,9.35527e-05,0.0002040538
12.041442,9.20626e-05,0.0001930739
12.052413,9.2107e-05,0.0001949828
12.131511,9.37419e-05,0.0002037096
