section,duration_s,cpu_energy_kWh,energy_consumed_kWh
backtesting_setup,0.009703,1.382e-07,2.023e-07
data_ingestion,0.00896,5.06e-08,7.71e-08
strategy_execution,11.193543,8.81986e-05,0.0001790454
backtesting_setup,0.010281,1.546e-07,2.187e-07
data_ingestion,0.008987,5.04e-08,3.44e-07
strategy_execution,11.236225,8.85384e-05,0.0001800941
backtesting_setup,0.009487,1.675e-07,2.351e-07
data_ingestion,0.009963,6.25e-08,4.755e-07
strategy_execution,11.264033,8.99613e-05,0.0001825928
backtesting_setup,0.011981,1.392e-07,7.429e-07
data_ingestion,0.008199,5.82e-08,8.3e-08
strategy_execution,11.275234,8.87111e-05,0.0001817497
backtesting_setup,0.017634,7.53e-08,1.063e-07
data_ingestion,0.00879,7.5e-08,1.068e-07
strategy_execution,11.291402,8.91939e-05,0.0001827139
backtesting_setup,0.017734,9.29e-08,1.298e-07
data_ingestion,0.008124,5.74e-08,8.15e-08
strategy_execution,11.319906,8.85659e-05,0.0001811481
backtesting_setup,0.009996,1.312e-07,1.886e-07
data_ingestion,0.008033,4.84e-08,7e-08
strategy_execution,11.322503,8.93851e-05,0.0001827837
backtesting_setup,0.011372,1.437e-07,2.044e-07
data_ingestion,0.010489,6.57e-08,9.36e-08
strategy_execution,11.233209,8.81354e-05,0.0001794874
backtesting_setup,0.009514,1.376e-07,1.968e-07
data_ingestion,0.008258,5.89e-08,8.17e-08
strategy_execution,11.296966,8.81766e-05,0.0001808781
backtesting_setup,0.008778,1.231e-07,7.183e-07
data_ingestion,0.007958,4.99e-08,7.09e-08
strategy_execution,11.334635,8.95603e-05,0.0001810965
backtesting_setup,0.00834,1.221e-07,1.749e-07
data_ingestion,0.008206,4.96e-08,4.858e-07
strategy_execution,11.341194,8.91321e-05,0.0001818509
backtesting_setup,0.008088,1.419e-07,2.047e-07
data_ingestion,0.00798,4.92e-08,4.707e-07
strategy_execution,11.289208,8.88381e-05,0.0001813025
backtesting_setup,0.009697,1.915e-07,2.752e-07
data_ingestion,0.008137,5.2e-08,7.46e-08
strategy_execution,11.333007,8.90287e-05,0.0001823547
backtesting_setup,0.011658,1.376e-07,1.955e-07
data_ingestion,0.009902,6.43e-08,9.25e-08
strategy_execution,11.366678,8.94647e-05,0.0001820197
backtesting_setup,0.008271,1.539e-07,2.2e-07
data_ingestion,0.007907,5.45e-08,7.66e-08
strategy_execution,11.391053,8.97154e-05,0.0001819221
backtesting_setup,0.008548,1.413e-07,6.693e-07
data_ingestion,0.008025,5.08e-08,7.27e-08
strategy_execution,11.312529,9.02046e-05,0.0001838771
backtesting_setup,0.008057,1.615e-07,2.319e-07
data_ingestion,0.010772,5.94e-08,5.42e-07
strategy_execution,11.361146,8.94142e-05,0.000182742
backtesting_setup,0.00936,1.522e-07,7.621e-07
data_ingestion,0.008963,5.8e-08,8.24e-08
strategy_execution,11.372828,8.88337e-05,0.0001805706
backtesting_setup,0.010115,1.397e-07,2.017e-07
data_ingestion,0.010222,6.95e-08,1.008e-07
strategy_execution,11.414139,8.96274e-05,0.0001824161
backtesting_setup,0.008435,1.241e-07,1.782e-07
data_ingestion,0.008127,5.08e-08,7.27e-08
strategy_execution,11.313717,8.91941e-05,0.0001822776
backtesting_setup,0.009854,1.558e-07,2.221e-07
data_ingestion,0.008054,5.05e-08,4.909e-07
strategy_execution,11.392152,9.06308e-05,0.0001840716
backtesting_setup,0.009598,1.228e-07,1.749e-07
data_ingestion,0.008148,5.03e-08,7.28e-08
strategy_execution,11.407578,9.00704e-05,0.0001835979
backtesting_setup,0.00913,1.698e-07,8.16e-07
data_ingestion,0.008046,5e-08,7.2e-08
strategy_execution,11.388808,8.91122e-05,0.0001830289
backtesting_setup,0.008364,1.355e-07,1.957e-07
data_ingestion,0.013554,7.03e-08,1.003e-07
strategy_execution,11.297809,8.83869e-05,0.0001794268
backtesting_setup,0.008155,1.277e-07,6.62e-07
data_ingestion,0.008978,5.13e-08,7.47e-08
strategy_execution,11.440813,9.05528e-05,0.0001843783
backtesting_setup,0.008283,1.349e-07,7.138e-07
data_ingestion,0.008015,5e-08,7.29e-08
strategy_execution,11.408705,9.00919e-05,0.0001824079
backtesting_setup,0.008914,1.381e-07,1.938e-07
data_ingestion,0.008131,5.22e-08,7.42e-08
strategy_execution,11.452859,9.0064e-05,0.0001827154
backtesting_setup,0.008257,1.218e-07,1.752e-07
data_ingestion,0.008318,5.24e-08,7.46e-08
strategy_execution,11.359384,8.96971e-05,0.0001807373
backtesting_setup,0.009009,1.37e-07,1.953e-07
data_ingestion,0.010705,6.96e-08,4.454e-07
strategy_execution,11.411115,8.93817e-05,0.0001828112
backtesting_setup,0.010161,1.294e-07,1.881e-07
data_ingestion,0.008011,4.98e-08,7.12e-08
strategy_execution,11.429617,8.9185e-05,0.0001835383
